Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly BioProject Lineage Accession	Assembly BioSample Accession
GCA_019049445.1	Ampulex compressa				GBR-01-19-01A		Annotation submitted by Zoologisches Forschungsmuseum Alexander Koenig (ZFMK)	277735878	Scaffold	2021-06-28	JAHFVI01	42854	9128341	PRJNA731354	SAMN19278229
GCA_929108735.1	Andrena dorsata							277321003	Chromosome	2022-02-09	CAKMYH01	30063116	88484888	PRJEB50659	SAMEA7746464
GCA_929108735.1	Andrena dorsata							277321003	Chromosome	2022-02-09	CAKMYH01	30063116	88484888	PRJEB48400	SAMEA7746464
GCA_929108735.1	Andrena dorsata							277321003	Chromosome	2022-02-09	CAKMYH01	30063116	88484888	PRJEB40665	SAMEA7746464
GCA_929108735.1	Andrena dorsata							277321003	Chromosome	2022-02-09	CAKMYH01	30063116	88484888	PRJNA533106	SAMEA7746464
GCA_929108735.1	Andrena dorsata							277321003	Chromosome	2022-02-09	CAKMYH01	30063116	88484888	PRJEB43510	SAMEA7746464
GCA_929108735.1	Andrena dorsata							277321003	Chromosome	2022-02-09	CAKMYH01	30063116	88484888	PRJNA533106	SAMEA7746464
GCA_929114765.1	Andrena dorsata							215949665	Contig	2022-02-09	CAKMYL01	3163234		PRJEB50660	SAMEA7746464
GCA_929114765.1	Andrena dorsata							215949665	Contig	2022-02-09	CAKMYL01	3163234		PRJEB48400	SAMEA7746464
GCA_929114765.1	Andrena dorsata							215949665	Contig	2022-02-09	CAKMYL01	3163234		PRJEB40665	SAMEA7746464
GCA_929114765.1	Andrena dorsata							215949665	Contig	2022-02-09	CAKMYL01	3163234		PRJNA533106	SAMEA7746464
GCA_929114765.1	Andrena dorsata							215949665	Contig	2022-02-09	CAKMYL01	3163234		PRJEB43510	SAMEA7746464
GCA_929114765.1	Andrena dorsata							215949665	Contig	2022-02-09	CAKMYL01	3163234		PRJNA533106	SAMEA7746464
GCA_910592295.1	Andrena haemorrhoa							330670691	Chromosome	2021-07-07	CAJUZA01	13237341	41012438	PRJEB45692	SAMEA7520535
GCA_910592295.1	Andrena haemorrhoa							330670691	Chromosome	2021-07-07	CAJUZA01	13237341	41012438	PRJEB45180	SAMEA7520535
GCA_910592295.1	Andrena haemorrhoa							330670691	Chromosome	2021-07-07	CAJUZA01	13237341	41012438	PRJEB40665	SAMEA7520535
GCA_910592295.1	Andrena haemorrhoa							330670691	Chromosome	2021-07-07	CAJUZA01	13237341	41012438	PRJNA533106	SAMEA7520535
GCA_910592295.1	Andrena haemorrhoa							330670691	Chromosome	2021-07-07	CAJUZA01	13237341	41012438	PRJEB43510	SAMEA7520535
GCA_910592295.1	Andrena haemorrhoa							330670691	Chromosome	2021-07-07	CAJUZA01	13237341	41012438	PRJNA533106	SAMEA7520535
GCA_910592125.1	Andrena haemorrhoa							238273182	Contig	2021-07-07	CAJUZB01	1265555		PRJEB45693	SAMEA7520535
GCA_910592125.1	Andrena haemorrhoa							238273182	Contig	2021-07-07	CAJUZB01	1265555		PRJEB45180	SAMEA7520535
GCA_910592125.1	Andrena haemorrhoa							238273182	Contig	2021-07-07	CAJUZB01	1265555		PRJEB40665	SAMEA7520535
GCA_910592125.1	Andrena haemorrhoa							238273182	Contig	2021-07-07	CAJUZB01	1265555		PRJNA533106	SAMEA7520535
GCA_910592125.1	Andrena haemorrhoa							238273182	Contig	2021-07-07	CAJUZB01	1265555		PRJEB43510	SAMEA7520535
GCA_910592125.1	Andrena haemorrhoa							238273182	Contig	2021-07-07	CAJUZB01	1265555		PRJNA533106	SAMEA7520535
GCA_944738655.1	Andrena hattorfiana							428511216	Chromosome	2022-07-13	CALYFQ01	10245246	82344430	PRJEB53871	SAMEA7746468
GCA_944738655.1	Andrena hattorfiana							428511216	Chromosome	2022-07-13	CALYFQ01	10245246	82344430	PRJEB52207	SAMEA7746468
GCA_944738655.1	Andrena hattorfiana							428511216	Chromosome	2022-07-13	CALYFQ01	10245246	82344430	PRJEB40665	SAMEA7746468
GCA_944738655.1	Andrena hattorfiana							428511216	Chromosome	2022-07-13	CALYFQ01	10245246	82344430	PRJNA533106	SAMEA7746468
GCA_944738655.1	Andrena hattorfiana							428511216	Chromosome	2022-07-13	CALYFQ01	10245246	82344430	PRJEB43510	SAMEA7746468
GCA_944738655.1	Andrena hattorfiana							428511216	Chromosome	2022-07-13	CALYFQ01	10245246	82344430	PRJNA533106	SAMEA7746468
GCA_944738785.1	Andrena hattorfiana							35513745	Contig	2022-07-13	CALYIL01	544819		PRJEB53870	SAMEA7746468
GCA_944738785.1	Andrena hattorfiana							35513745	Contig	2022-07-13	CALYIL01	544819		PRJEB52207	SAMEA7746468
GCA_944738785.1	Andrena hattorfiana							35513745	Contig	2022-07-13	CALYIL01	544819		PRJEB40665	SAMEA7746468
GCA_944738785.1	Andrena hattorfiana							35513745	Contig	2022-07-13	CALYIL01	544819		PRJNA533106	SAMEA7746468
GCA_944738785.1	Andrena hattorfiana							35513745	Contig	2022-07-13	CALYIL01	544819		PRJEB43510	SAMEA7746468
GCA_944738785.1	Andrena hattorfiana							35513745	Contig	2022-07-13	CALYIL01	544819		PRJNA533106	SAMEA7746468
GCA_929113495.1	Andrena minutula							380445275	Chromosome	2022-02-09	CAKMYJ01	12677561	50233583	PRJEB50664	SAMEA8603155
GCA_929113495.1	Andrena minutula							380445275	Chromosome	2022-02-09	CAKMYJ01	12677561	50233583	PRJEB47990	SAMEA8603155
GCA_929113495.1	Andrena minutula							380445275	Chromosome	2022-02-09	CAKMYJ01	12677561	50233583	PRJEB40665	SAMEA8603155
GCA_929113495.1	Andrena minutula							380445275	Chromosome	2022-02-09	CAKMYJ01	12677561	50233583	PRJNA533106	SAMEA8603155
GCA_929113495.1	Andrena minutula							380445275	Chromosome	2022-02-09	CAKMYJ01	12677561	50233583	PRJEB43510	SAMEA8603155
GCA_929113495.1	Andrena minutula							380445275	Chromosome	2022-02-09	CAKMYJ01	12677561	50233583	PRJNA533106	SAMEA8603155
GCA_929113085.1	Andrena minutula							283595785	Contig	2022-02-09	CAKMYM01	1544802		PRJEB50663	SAMEA8603155
GCA_929113085.1	Andrena minutula							283595785	Contig	2022-02-09	CAKMYM01	1544802		PRJEB47990	SAMEA8603155
GCA_929113085.1	Andrena minutula							283595785	Contig	2022-02-09	CAKMYM01	1544802		PRJEB40665	SAMEA8603155
GCA_929113085.1	Andrena minutula							283595785	Contig	2022-02-09	CAKMYM01	1544802		PRJNA533106	SAMEA8603155
GCA_929113085.1	Andrena minutula							283595785	Contig	2022-02-09	CAKMYM01	1544802		PRJEB43510	SAMEA8603155
GCA_929113085.1	Andrena minutula							283595785	Contig	2022-02-09	CAKMYM01	1544802		PRJNA533106	SAMEA8603155
GCA_022405125.1	Anthidium xuezhongi				XZ			189140731	Chromosome	2022-03-04	JAHHWS01	6536466	12529609	PRJNA732844	SAMN19349485
GCF_001442555.1	Apis cerana		Korean				NCBI Annotation Release 101	228315917	Scaffold	2015-11-12	JANR01	43751	1421626	PRJNA235974	SAMN02592885
GCA_001442555.1	Apis cerana		Korean					228315917	Scaffold	2015-11-12	JANR01	43751	1421626	PRJNA235974	SAMN02592885
GCA_019250055.1	Apis cerana				Peshawar Forest			214433208	Scaffold	2021-07-15	JADDRF01	523645	2852611	PRJNA669617	SAMN16442763
GCA_020141525.2	Apis cerana				YRUPSC-2021			226959587	Chromosome	2021-09-27	JAITYW01	7065000	13276899	PRJNA738447	SAMN19728911
GCA_002290385.1	Apis cerana cerana	Wufu Mountain					Annotation submitted by Chinese National Human Genome Center at Shanghai	228791026	Scaffold	2017-09-12	JPYL01	21160	1393515	PRJNA239323	SAMN02666016
GCA_011100585.1	Apis cerana cerana				FLBSL-2018			215652617	Chromosome	2020-03-10	WJBF01	3898192	13171513	PRJNA579740	SAMN13118423
GCA_002217905.1	Apis cerana japonica							211200590	Scaffold	2017-07-08	BDUG01	179487	180259	PRJDB5799	SAMD00082726
GCF_000469605.1	Apis dorsata						NCBI Annotation Release 101	230340171	Scaffold	2013-09-24	AUPE01	8422	732052	PRJNA174631	SAMN02954476
GCA_000469605.1	Apis dorsata							230340171	Scaffold	2013-09-24	AUPE01	8422	732052	PRJNA174631	SAMN02954476
GCA_009792835.1	Apis dorsata				ADCM-2017			223527749	Scaffold	2019-12-23	WJNQ01	30868	34588	PRJNA577936	SAMN13065485
GCF_000184785.3	Apis florea						NCBI Annotation Release 102	228997396	Scaffold	2012-12-07	AEKZ01	24915	2863240	PRJNA45871	SAMN00009081
GCF_000184785.3	Apis florea						NCBI Annotation Release 102	228997396	Scaffold	2012-12-07	AEKZ01	24915	2863240	PRJNA163991	SAMN00009081
GCF_000184785.3	Apis florea						NCBI Annotation Release 102	228997396	Scaffold	2012-12-07	AEKZ01	24915	2863240	PRJNA163993	SAMN00009081
GCF_000184785.3	Apis florea						NCBI Annotation Release 102	228997396	Scaffold	2012-12-07	AEKZ01	24915	2863240	PRJNA533106	SAMN00009081
GCA_000184785.2	Apis florea							228997396	Scaffold	2011-01-06	AEKZ01	24915	2863240	PRJNA45871	SAMN00009081
GCA_000184785.2	Apis florea							228997396	Scaffold	2011-01-06	AEKZ01	24915	2863240	PRJNA163991	SAMN00009081
GCA_000184785.2	Apis florea							228997396	Scaffold	2011-01-06	AEKZ01	24915	2863240	PRJNA163993	SAMN00009081
GCA_000184785.2	Apis florea							228997396	Scaffold	2011-01-06	AEKZ01	24915	2863240	PRJNA533106	SAMN00009081
GCF_014066325.1	Apis laboriosa				Shangri-la		NCBI Annotation Release 100	226063288	Scaffold	2020-08-05	JACEOM01	303790	3339770	PRJNA647849	SAMN15599769
GCA_014066325.1	Apis laboriosa				Shangri-la			226063288	Scaffold	2020-08-05	JACEOM01	303790	3339770	PRJNA647849	SAMN15599769
GCF_003254395.2	Apis mellifera		DH4				NCBI Annotation Release 104	225234541	Chromosome	2018-09-10	QIUM02	5382476	13619445	PRJNA10625	SAMN09259743
GCF_003254395.2	Apis mellifera		DH4				NCBI Annotation Release 104	225234541	Chromosome	2018-09-10	QIUM02	5382476	13619445	PRJNA167910	SAMN09259743
GCF_003254395.2	Apis mellifera		DH4				NCBI Annotation Release 104	225234541	Chromosome	2018-09-10	QIUM02	5382476	13619445	PRJNA163991	SAMN09259743
GCF_003254395.2	Apis mellifera		DH4				NCBI Annotation Release 104	225234541	Chromosome	2018-09-10	QIUM02	5382476	13619445	PRJNA163993	SAMN09259743
